sample_index,t_arduino_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,flex,pressure,pressure_adc,flex_adc,acc_x_g,acc_y_g,acc_z_g,gyr_x_rads,gyr_y_rads,gyr_z_rads,Time,BR_X,BR_Y,BR_Z,BR_W,BP_X,BP_Y,BP_Z,TR_X,TR_Y,TR_Z,TR_W,TP_X,TP_Y,TP_Z,phi,theta,psi,dx,dy,dz
0.0,0.0,9.198522778320312,4.052585343424479,-0.021547814941406267,0.07745176120809437,0.005284839210873401,0.018030627895921,0.0,4265.466015466013,477.3333333333333,0.0,0.93798828125,0.4132486979166667,-0.002197265625,0.07745176120809437,0.005284839210873401,0.018030627895921,0.0,-0.16869800000000001,0.7059963333333333,-0.6774563333333333,0.11900766666666666,0.34138700000000005,0.08557033333333335,0.27887233333333333,-0.12111733333333334,0.8171996666666667,-0.5633750000000001,-0.011136333333333331,0.38383133333333336,0.037328,0.4046823333333333,-0.35839438554724784,0.22518282453521857,-0.0864409398926002,-0.04244433333333327,0.048242333333333304,-0.12580999999999998
5.0,0.0208333333333333,9.236830004882814,4.061523696289062,-0.06464344482421872,0.07748728953892378,0.00530260337628808,0.0168937213093802,10.6,4646.947496947495,483.4,10.6,0.94189453125,0.41416015625,-0.006591796875,0.07748728953892378,0.00530260337628808,0.0168937213093802,0.020833333333333332,-0.1690698,0.7061018000000001,-0.6772456,0.11905360000000001,0.3413708,0.0856044,0.278862,-0.1211792,0.8171330000000001,-0.5634539999999999,-0.0113352,0.383832,0.0373188,0.40469340000000004,-0.35786173750437705,0.2259791631695057,-0.08638423879298167,-0.04246119999999996,0.04828559999999996,-0.12583139999999998
10.0,0.0416666666666666,9.22054943359375,4.062960217285156,-0.09145850341796873,0.07514241970418332,0.010605206752576198,0.01763981625679762,0.0,4621.79487179487,483.0,0.0,0.940234375,0.414306640625,-0.009326171875,0.07514241970418332,0.010605206752576198,0.01763981625679762,0.041666666666666664,-0.168877,0.7060016,-0.6774015999999999,0.11903540000000001,0.3413774,0.085584,0.2788684,-0.12121219999999999,0.817238,-0.5632926,-0.0114346,0.3838328,0.0373174,0.40469140000000003,-0.3586814203117089,0.22565820924131588,-0.08681377597278585,-0.042455399999999935,0.04826659999999994,-0.12582299999999996
15.0,0.0625,9.229647399902344,4.064875578613281,-0.0756567724609375,0.07756722828328992,0.009219601850229539,0.01830597245984886,9.0,4634.371184371182,483.2,9.0,0.941162109375,0.414501953125,-0.00771484375,0.07756722828328992,0.009219601850229539,0.01830597245984886,0.0625,-0.1691456,0.7061512000000001,-0.6771796,0.1190296,0.3413682,0.0856128,0.2788558,-0.12107559999999999,0.817293,-0.5632468,-0.0112132,0.3838294,0.0373226,0.40467639999999994,-0.35808546957583776,0.22606541714469688,-0.08585925721498804,-0.0424611999999999,0.0482902,-0.1258206
20.0,0.0833333333333333,9.210014946289062,4.094563679199219,-0.11348515869140623,0.07756722828328996,0.00714119449670958,0.01753323126430938,0.2,4722.40537240537,484.6,0.2,0.93916015625,0.417529296875,-0.011572265625,0.07756722828328996,0.00714119449670958,0.01753323126430938,0.08333333333333333,-0.1690492,0.7061257999999999,-0.6772346,0.1190054,0.34137019999999996,0.0855992,0.2788602,-0.12104839999999999,0.8172782,-0.5632752,-0.011158999999999999,0.3838348,0.037325199999999996,0.40468019999999993,-0.3580978266363421,0.22586642720705044,-0.08584973137908851,-0.04246459999999998,0.048274,-0.12582
25.0,0.1041666666666666,9.227732038574219,4.065833259277343,-0.049320554199218734,0.07628820837343148,0.00770076570727264,0.01870566618167964,4.4,4621.794871794869,483.0,4.4,0.940966796875,0.414599609375,-0.005029296875,0.07628820837343148,0.00770076570727264,0.01870566618167964,0.10416666666666667,-0.16895659999999998,0.7059903999999999,-0.677395,0.119025,0.341376,0.0855904,0.2788614,-0.121156,0.8172121999999999,-0.5633435999999999,-0.011372400000000001,0.38383660000000003,0.0373212,0.4046906,-0.3585112445491213,0.22578869487186926,-0.08652338505164492,-0.04246059999999992,0.04826919999999996,-0.1258292
30.0,0.125,9.227732038574219,4.078761948242187,-0.08283937744140624,0.07567534466662432,0.010072281790135178,0.018012863730506302,9.6,4659.523809523807,483.6,9.6,0.940966796875,0.41591796875,-0.008447265625,0.07567534466662432,0.010072281790135178,0.018012863730506302,0.125,-0.1690144,0.7060712,-0.6772914,0.11905460000000001,0.3413712,0.0855996,0.2788592,-0.12128159999999999,0.8169822,-0.5636479999999999,-0.011451,0.3838412,0.0373202,0.40471,-0.35759639669356,0.22588831822160133,-0.08683004961415215,-0.04246999999999992,0.04827939999999998,-0.12585079999999998
35.0,0.1458333333333333,9.23635116455078,4.080198469238281,-0.11827356201171871,0.07676784083962843,0.0074609494741741805,0.017959571234262197,0.6,4709.829059829057,484.4,0.6,0.941845703125,0.416064453125,-0.012060546875,0.07676784083962843,0.0074609494741741805,0.017959571234262197,0.14583333333333334,-0.1687744,0.7059622,-0.6774692,0.11902899999999998,0.3413802,0.0855766,0.27887019999999996,-0.12106520000000001,0.8172560000000001,-0.5633034,-0.011188,0.38383399999999995,0.0373212,0.40468020000000005,-0.35865694876566473,0.22544548411630289,-0.08636963424601553,-0.042453799999999944,0.04825539999999998,-0.12580999999999998
40.0,0.1666666666666666,9.218155231933594,4.071100502929688,-0.0852335791015625,0.07735405829831353,0.00818039817346956,0.01654732008379352,0.0,4609.218559218558,482.8,0.0,0.939990234375,0.41513671875,-0.00869140625,0.07735405829831353,0.00818039817346956,0.01654732008379352,0.16666666666666666,-0.1690576,0.7060902,-0.6772646,0.11903440000000001,0.34136960000000005,0.0855998,0.2788604,-0.12108479999999999,0.8172508,-0.5633058,-0.0112202,0.3838344,0.037319599999999994,0.4046834,-0.35817029442033343,0.22592409956583878,-0.08603470940536315,-0.04246479999999993,0.048280199999999975,-0.12582299999999996
45.0,0.1875,9.205226542968749,4.059129494628906,-0.10726023437499992,0.07588851465160072,0.008846554376520821,0.017773047497407858,0.6,4596.642246642245,482.6,0.6,0.938671875,0.413916015625,-0.0109375,0.07588851465160072,0.008846554376520821,0.017773047497407858,0.1875,-0.1687382,0.7059292,-0.6775142000000001,0.1190224,0.34138440000000003,0.0855696,0.2788726,-0.1210718,0.8173212,-0.5632058,-0.0112664,0.3838354,0.037319399999999996,0.40467899999999996,-0.35904621253926944,0.22542963425387336,-0.08653145746822008,-0.04245099999999992,0.048250199999999945,-0.12580639999999993
